ZdcId;ZdCXEpsg2154;ZdCYEpsg2154;liftReason;liftStatus;liftMode;liftId;LiftPrivateId;liftSituation;liftDirection;liftStateUpdate;LiftState;ZdcName;ZdcCentroid
63044;661970;6845291;;available;RapidTransit;534;5021;Voie 2B;Paris;2024-04-16T16:11:00+02:00;1;Yerres;48.7066395760691,2.4831783425943286
63072;660433;6845479;;available;RapidTransit;973;ASC.PMR 5025;;Paris;2024-04-16T16:11:00+02:00;1;Montgeron - Crosne;48.70823817095701,2.4622739917486482
63072;660433;6845479;;available;RapidTransit;974;ASC.PMR 5026;;Melun;2024-04-16T16:11:00+02:00;1;Montgeron - Crosne;48.70823817095701,2.4622739917486482
65582;655374;6875343;;available;RapidTransit;548;2005;Quai 2 Central;Paris;2024-04-16T16:11:00+02:00;1;Garges - Sarcelles;48.97647694788361,2.390390130223988
67476;663671;6844432;;available;RapidTransit;971;PMR 5023;Quai 2;Melun;2024-04-16T16:11:00+02:00;1;Brunoy;48.69901141718683,2.5063670227501085
69300;663573;6883394;;available;RapidTransit;966;PMR 2290;Quai 1 côté BV;Province;2024-04-16T16:11:00+02:00;1;Louvres;49.049386238786106,2.501694566492318
69300;663573;6883394;;available;RapidTransit;967;PMR 2291;Quai 2;Paris;2024-04-16T16:11:00+02:00;1;Louvres;49.049386238786106,2.501694566492318
73624;658388;6854526;;available;RapidTransit;1081;681247 - ASC.PMR 5109;Voie 2B & 1B - Quai 2;Paris;2024-04-16T16:09:00+02:00;1;Le Vert de Maisons;48.78947689186091,2.43360091325324
478733;652967;6864723;;available;RapidTransit;86;1011;Passerelle Intermédiaire Milieu voies 52/54;;2024-04-16T16:11:00+02:00;1;Magenta;48.880806898984474,2.3586891338578906
71379;647343;6864466;;available;RapidTransit;105;4521;Bureau des Vente <> Quai Central;Pontoise / Invalides / Brétigny / Massy / Rungis;2024-04-16T16:09:00+02:00;1;Neuilly Porte Maillot;48.878060464886644,2.282039853718124
71609;662868;6860034;;available;RapidTransit;109;1029;Souterrain <> Quai;Province;2024-04-16T16:09:00+02:00;1;Nogent - Le Perreux;48.83928578877602,2.494098052482453
72041;660469;6866448;;available;RapidTransit;111;1016;Passerelle Intermédiaire;;2024-04-16T16:09:00+02:00;1;Noisy-le-Sec;48.89682360062214,2.460817354843202
72041;660469;6866448;;available;RapidTransit;113;1018;Souterrain <> Quai 1;Paris;2024-04-16T16:09:00+02:00;1;Noisy-le-Sec;48.89682360062214,2.460817354843202
73098;664102;6858424;;available;RapidTransit;417;1056;Quai A;Province;2024-04-16T16:10:00+02:00;1;Les Boullereaux Champigny;48.82487660224706,2.5110459758140857
73266;667192;6864150;;available;RapidTransit;29;1002;Passerelle <> Voies C/D;Chelles;2024-04-16T16:09:00+02:00;1;Le Chénay Gagny;48.87653583315669,2.552691030703949
73688;650758;6864095;;available;RapidTransit;62;1006;Passerelle Intermédiaire <> Quais 31 - 33;Chelles / Villiers;2024-04-16T16:11:00+02:00;1;Haussmann Saint-Lazare;48.87499434686468,2.3286428934817898
